Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block809.xls,B,9,1,93,93,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,0,0,0,32.04328042199995,None,32.04328042199995,None,1,22.182923339001718,32.04328042199995,None,54.257577264001156,None,54.257577264001156,None,56.774116376000165,None,56.774116376000165,None,1.2499623779985995,58.57691818100284,None,58.57691818100284,None,5,1,0.9017485769982159,59.81018942300216,None,59.81018942300216,None,59.81018942300216,None,60.72811652400196,None,1,0.9185366650017386,60.72811652400196,None,2,61.663232995000726,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
1,Block809.xls,B,9,2,15,15,None,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/39Bi.jpeg,0,0,0,0,0,1,1,1,62.665178889001254,None,62.665178889001254,None,1,4.860135205999541,62.665178889001254,None,67.55924353199953,None,67.55924353199953,None,70.06385101700289,None,70.06385101700289,None,1.2004045260000566,71.86030673300047,None,71.86030673300047,None,6,1,0.9678132280023419,73.05279815500035,None,73.05279815500035,None,73.05279815500035,None,74.03722476100302,None,1,0.7850381249991187,74.03722476100302,None,4,74.83884172000035,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
1,Block809.xls,B,9,3,117,21,None,incongruent,Left,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,2,2,2,75.84072216999994,None,75.84072216999994,None,1,4.6096973460007575,75.84072216999994,None,80.48433506700167,None,80.48433506700167,None,82.98753824800224,None,82.98753824800224,None,1.2507143000002543,84.78630166800212,None,84.78630166800212,None,5,1,0.8843331870011752,86.02811077700244,None,86.02811077700244,None,86.02811077700244,None,86.92911093800285,None,1,0.7186949890019605,86.92911093800285,None,6,87.66413404299965,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
1,Block809.xls,B,9,4,94,94,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,3,3,3,88.66578325700175,None,88.66578325700175,None,1,4.96033388199794,88.66578325700175,None,93.6595842429997,None,93.6595842429997,None,96.16474059500251,None,96.16474059500251,None,1.2341360869977507,97.96835759100213,None,97.96835759100213,None,5,1,1.0013651219996973,99.18685191199984,None,99.18685191199984,None,99.18685191199984,None,100.20473796000078,None,1,0.7345608069990703,100.20473796000078,None,8,100.9563652220022,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
1,Block809.xls,B,9,5,41,41,None,congruent,Right,Right,Left,79,76,3,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/76B.jpeg,0,0,0,0,0,4,4,4,101.95852291300253,None,101.95852291300253,None,1,4.709657796000101,101.95852291300253,None,106.69969396000306,None,106.69969396000306,None,109.2049108650026,None,109.2049108650026,None,1.2504950460024702,111.007859698002,None,111.007859698002,None,6,0,0.9516354930019588,112.24545566000234,None,112.24545566000234,None,112.24545566000234,None,113.21336770000198,None,1,0.7351936640006898,113.21336770000198,None,6,113.96467010200286,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
1,Block809.xls,B,9,6,36,36,None,congruent,Right,Right,Left,79,73,6,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/73B.jpeg,0,0,0,0,0,5,5,5,114.96679836200201,None,114.96679836200201,None,1,4.409600651000801,114.96679836200201,None,119.40982058200098,None,119.40982058200098,None,121.91433888400206,None,121.91433888400206,None,1.3003740799977095,123.71086229300272,None,123.71086229300272,None,5,1,1.0190530389991181,125.00331574400116,None,125.00331574400116,None,125.00331574400116,None,126.03881065700261,None,1,0.8008927819973906,126.03881065700261,None,8,126.85653129400089,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
1,Block809.xls,B,9,7,78,78,None,congruent,Right,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,6,6,6,127.85828294800012,None,127.85828294800012,None,1,4.443288028000097,127.85828294800012,None,132.3351948890013,None,132.3351948890013,None,134.83848839100028,None,134.83848839100028,None,1.2674388609993912,136.6417587830001,None,136.6417587830001,None,5,1,1.1189123050025955,137.89529165500062,None,137.89529165500062,None,137.89529165500062,None,139.03070535900042,None,1,0.7343150330016215,139.03070535900042,None,10,139.78186743300103,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
1,Block809.xls,B,9,8,29,29,None,congruent,Right,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,7,7,7,140.78384606100008,None,140.78384606100008,None,1,4.609387129999959,140.78384606100008,None,145.42708648100233,None,145.42708648100233,None,147.93216408599983,None,147.93216408599983,None,1.2005761920008808,149.7281960319997,None,149.7281960319997,None,6,0,1.051297224003065,150.92061756100156,None,150.92061756100156,None,150.92061756100156,None,151.98891543900027,None,1,0.6518579779985885,151.98891543900027,None,8,152.65710482400027,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
1,Block809.xls,B,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
2,Block805.xls,B,5,1,16,16,None,congruent,Left,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,1,1,1,0,0,0,0,173.41671823100114,None,173.41671823100114,None,1,5.663078843001131,173.41671823100114,None,179.1040761910008,None,179.1040761910008,None,181.63065727600042,None,181.63065727600042,None,1.283768601999327,183.43430910700044,None,183.43430910700044,None,6,1,1.035188460999052,184.70267281400083,None,184.70267281400083,None,184.70267281400083,None,185.75482099800138,None,1,0.7009719609995955,185.75482099800138,None,10,186.4721538949998,None,126,B,1,2021_May_27_1626,GazeFlow,2020.1.2,59.86381496984097,
