Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block502.xls,A,2,1,93,33,22,incongruent,Left,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,0,0,0,130.85985003000314,None,130.85985003000314,None,1,8.102922649999527,130.85985003000314,None,138.9985986640022,None,138.9985986640022,None,141.51440679700318,None,141.51440679700318,None,1.8677010179999343,143.31799116600087,None,143.31799116600087,None,5,1,1.0189785590009706,145.1686507129998,None,145.1686507129998,None,145.1686507129998,None,146.20364442900245,None,1,1.7537471360010386,146.20364442900245,None,2,147.97366812300243,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
1,Block502.xls,A,2,2,42,42,12,congruent,Right,Right,Left,83,80,3,blue,2,5,/home/docky/apps/exp/images/83Bi.jpeg,/home/docky/apps/exp/images/80B.jpeg,0,0,0,0,0,1,1,1,148.97601286900317,None,148.97601286900317,None,1,7.230907455999841,148.97601286900317,None,156.24034224900242,None,156.24034224900242,None,158.7440317690016,None,158.7440317690016,None,1.9017949099979887,160.54580138300298,None,160.54580138300298,None,5,1,1.068281289000879,162.43560057300056,None,162.43560057300056,None,162.43560057300056,None,163.52039230000082,None,1,1.3868525129983027,163.52039230000082,None,4,164.92359946000215,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
1,Block502.xls,A,2,3,9,9,11,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38Bi.jpeg,/home/docky/apps/exp/images/39B.jpeg,0,0,0,0,0,2,2,2,165.92541857600008,None,165.92541857600008,None,1,7.515425061999849,165.92541857600008,None,173.4748699390002,None,173.4748699390002,None,175.97919106100017,None,175.97919106100017,None,1.5838871589985501,177.78264454500095,None,177.78264454500095,None,5,0,1.0684086149994982,179.35178170899962,None,179.35178170899962,None,179.35178170899962,None,180.43652776800081,None,1,1.0857710230011435,180.43652776800081,None,2,181.5388018670019,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
1,Block502.xls,A,2,4,23,23,11,congruent,Left,Left,Right,38,39,1,yellow,2,6,/home/docky/apps/exp/images/38Yi.jpeg,/home/docky/apps/exp/images/39Y.jpeg,0,0,0,0,0,3,3,3,182.5411733860019,None,182.5411733860019,None,1,7.665093362000334,182.5411733860019,None,190.23988982500305,None,190.23988982500305,None,192.74338690399964,None,192.74338690399964,None,1.0334864979995473,194.54656261000127,None,194.54656261000127,None,6,1,1.3021671059977962,195.5667727430009,None,195.5667727430009,None,195.5667727430009,None,196.8856885410023,None,1,1.1517463529999077,196.8856885410023,None,4,198.05429032699976,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
1,Block502.xls,A,2,5,57,57,12,congruent,Right,Right,Left,77,72,5,yellow,2,5,/home/docky/apps/exp/images/77Y.jpeg,/home/docky/apps/exp/images/72Yi.jpeg,0,0,0,0,0,4,4,4,199.05650376300036,None,199.05650376300036,None,1,7.331644990998029,199.05650376300036,None,206.4217839940029,None,206.4217839940029,None,208.92483646600158,None,208.92483646600158,None,2.202484015000664,210.72733823500312,None,210.72733823500312,None,5,1,1.1015128809995076,212.9167917570012,None,212.9167917570012,None,212.9167917570012,None,214.03513952300273,None,1,1.102370290998806,214.03513952300273,None,6,215.15394825100157,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
1,Block502.xls,A,2,6,118,58,22,incongruent,Left,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Yi.jpeg,/home/docky/apps/exp/images/79Y.jpeg,0,0,0,0,0,5,5,5,216.156572013002,None,216.156572013002,None,1,7.331582380997133,216.156572013002,None,223.5220211170017,None,223.5220211170017,None,226.02623353500167,None,226.02623353500167,None,1.3007163449983636,227.82841331900272,None,227.82841331900272,None,5,1,1.1187471359990013,229.1152169800007,None,229.1152169800007,None,229.1152169800007,None,230.25048686000082,None,1,0.9012435539989383,230.25048686000082,None,8,231.16847347099974,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
1,Block502.xls,A,2,7,101,41,22,incongruent,Left,Right,Left,83,80,3,blue,2,5,/home/docky/apps/exp/images/83Bi.jpeg,/home/docky/apps/exp/images/80B.jpeg,0,0,0,0,0,6,6,6,232.17050918099994,None,232.17050918099994,None,1,6.881118087003415,232.17050918099994,None,239.08502048800074,None,239.08502048800074,None,241.5876350920007,None,241.5876350920007,None,1.150422005001019,243.3914391640028,None,243.3914391640028,None,5,1,1.0350048180007434,244.5284209110032,None,244.5284209110032,None,244.5284209110032,None,245.57996497600107,None,1,1.0019691570014402,245.57996497600107,None,10,246.5982481610008,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
1,Block502.xls,A,2,8,69,9,21,incongruent,Right,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,0,0,0,0,7,7,7,247.6004418290031,None,247.6004418290031,None,1,7.0811448260028556,247.6004418290031,None,254.71673330900012,None,254.71673330900012,None,257.21807907699986,None,257.21807907699986,None,1.1003559460004908,259.0235181570024,None,259.0235181570024,None,6,1,1.3192005960008828,260.10875061400293,None,260.10875061400293,None,260.10875061400293,None,261.4445735260015,None,1,0.8179809230023238,261.4445735260015,None,12,262.27888389000145,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
1,Block502.xls,A,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
2,Block506.xls,A,6,1,120,60,22,incongruent,Left,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Yi.jpeg,/home/docky/apps/exp/images/79Y.jpeg,0,1,1,1,0,0,0,0,282.42092943300304,None,282.42092943300304,None,1,6.368618860000424,282.42092943300304,None,288.81665612100187,None,288.81665612100187,None,291.34102333600094,None,291.34102333600094,None,1.149834406998707,293.1328572450002,None,293.1328572450002,None,5,1,1.0016528209998796,294.2751107900003,None,294.2751107900003,None,294.2751107900003,None,295.2930452090004,None,1,0.7515999040006136,295.2930452090004,None,14,296.0612014210019,None,132,A,1,2021_May_28_1624,GazeFlow,2020.1.2,59.96458347761054,
