Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block809.xls,B,9,1,93,93,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,0,0,0,61.65250559899869,None,61.65250559899869,None,1,3.427714412999194,61.65250559899869,None,65.11360401799902,None,65.11360401799902,None,67.63081333900118,None,67.63081333900118,None,1.6007785010006046,69.43582605499978,None,69.43582605499978,None,5,1,1.202821547001804,71.0179274430011,None,71.0179274430011,None,71.0179274430011,None,72.23688745899926,None,1,1.419287703000009,72.23688745899926,None,2,73.67277042600108,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
1,Block809.xls,B,9,2,15,15,None,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/39Bi.jpeg,0,0,0,0,0,1,1,1,74.67500153899891,None,74.67500153899891,None,1,5.928560629999993,74.67500153899891,None,80.63728591100153,None,80.63728591100153,None,83.14193354699819,None,83.14193354699819,None,1.283929042001546,84.94447435899929,None,84.94447435899929,None,5,0,1.1020987599986256,86.2144389310015,None,86.2144389310015,None,86.2144389310015,None,87.33294835899869,None,1,0.9845310029995744,87.33294835899869,None,0,88.33446047100006,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
1,Block809.xls,B,9,3,117,21,None,incongruent,Left,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,2,2,2,89.3371512829981,None,89.3371512829981,None,1,4.77561411699935,89.3371512829981,None,94.1486396299988,None,94.1486396299988,None,96.65022377499918,None,96.65022377499918,None,1.4010256869987643,98.45382164200055,None,98.45382164200055,None,5,1,1.0018468090020178,99.84075727299933,None,99.84075727299933,None,99.84075727299933,None,100.85917240499839,None,1,0.6341845390015806,100.85917240499839,None,2,101.50995411300028,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
1,Block809.xls,B,9,4,94,94,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,3,3,3,102.51233659599893,None,102.51233659599893,None,1,4.593010865999531,102.51233659599893,None,107.14215287600018,None,107.14215287600018,None,109.64383289000034,None,109.64383289000034,None,1.2673016129992902,111.4471347869985,None,111.4471347869985,None,5,1,1.1023350979994575,112.69902451600137,None,112.69902451600137,None,112.69902451600137,None,113.81772754199847,None,1,0.9184100060010678,113.81772754199847,None,4,114.75224755999807,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
1,Block809.xls,B,9,5,41,41,None,congruent,Right,Right,Left,79,76,3,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/76B.jpeg,0,0,0,0,0,4,4,4,115.75482683299924,None,115.75482683299924,None,1,4.125446242996986,115.75482683299924,None,119.91330552100044,None,119.91330552100044,None,122.41849173900118,None,122.41849173900118,None,1.4010125659988262,124.22029159399972,None,124.22029159399972,None,5,1,1.0180827160002082,125.60738400199989,None,125.60738400199989,None,125.60738400199989,None,126.64229906299806,None,1,1.002259197000967,126.64229906299806,None,6,127.66103896899949,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
1,Block809.xls,B,9,6,36,36,None,congruent,Right,Right,Left,79,73,6,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/73B.jpeg,0,0,0,0,0,5,5,5,128.66330215400012,None,128.66330215400012,None,1,4.542308216001402,128.66330215400012,None,133.23953949399947,None,133.23953949399947,None,135.74261443100113,None,135.74261443100113,None,1.8685697389992129,137.54120457300087,None,137.54120457300087,None,5,1,1.3021754020010121,139.40073109500008,None,139.40073109500008,None,139.40073109500008,None,140.71966450800028,None,1,2.0044805469988205,140.71966450800028,None,8,142.7405548909992,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
1,Block809.xls,B,9,7,78,78,None,congruent,Right,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,6,6,6,143.74241970399817,None,143.74241970399817,None,1,4.358572647000983,143.74241970399817,None,148.13502114199946,None,148.13502114199946,None,150.63814890700087,None,150.63814890700087,None,1.317316351000045,152.44099159699908,None,152.44099159699908,None,5,1,1.21849094999925,153.74550221900063,None,153.74550221900063,None,153.74550221900063,None,154.98041125500094,None,1,0.8686464459970011,154.98041125500094,None,10,155.86567000099967,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
1,Block809.xls,B,9,8,29,29,None,congruent,Right,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,7,7,7,156.86777846599944,None,156.86777846599944,None,1,4.392376178999257,156.86777846599944,None,161.2939573449985,None,161.2939573449985,None,163.79712233700047,None,163.79712233700047,None,1.3672305750005762,165.5957837269998,None,165.5957837269998,None,5,1,1.1019279639986053,166.95447337699807,None,166.95447337699807,None,166.95447337699807,None,168.0730928310004,None,1,1.3856710190011654,168.0730928310004,None,12,169.4753151570003,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
1,Block809.xls,B,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
2,Block805.xls,B,5,1,16,16,None,congruent,Left,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,1,1,1,0,0,0,0,192.62187973300024,None,192.62187973300024,None,1,4.88464073599971,192.62187973300024,None,197.53174588399997,None,197.53174588399997,None,200.0526072089997,None,200.0526072089997,None,1.4336618360030116,201.85618161000093,None,201.85618161000093,None,5,0,1.0529676299993298,203.27508142499937,None,203.27508142499937,None,203.27508142499937,None,204.34372837200135,None,1,0.85094617499999,204.34372837200135,None,10,205.2114537009984,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
2,Block805.xls,B,5,2,2,2,None,congruent,Left,Left,Right,16,19,3,blue,2,6,/home/docky/apps/exp/images/16B.jpeg,/home/docky/apps/exp/images/19Bi.jpeg,0,1,1,1,0,1,1,1,206.21339297099985,None,206.21339297099985,None,1,3.9750860040003317,206.21339297099985,None,210.22040638399994,None,210.22040638399994,None,212.72723827400114,None,212.72723827400114,None,1.1169207370003278,214.52402964800058,None,214.52402964800058,None,6,1,1.1682529159988917,215.63243841200165,None,215.63243841200165,None,215.63243841200165,None,216.81744303400046,None,1,1.06893205400047,216.81744303400046,None,12,217.90262997299942,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
2,Block805.xls,B,5,3,64,64,None,congruent,Left,Left,Right,69,76,7,yellow,2,6,/home/docky/apps/exp/images/69Y.jpeg,/home/docky/apps/exp/images/76Yi.jpeg,0,1,1,1,0,2,2,2,218.90472588500052,None,218.90472588500052,None,1,3.9251884169971163,218.90472588500052,None,222.86367452799823,None,222.86367452799823,None,225.36814428700018,None,225.36814428700018,None,1.4010257670015562,227.17000366000138,None,227.17000366000138,None,6,1,1.11891635199936,228.55738767000003,None,228.55738767000003,None,228.55738767000003,None,229.69288119300109,None,1,0.8176574829994934,229.69288119300109,None,14,230.52720116300043,None,143,B,1,2021_Jun_01_1814,GazeFlow,2020.1.2,59.88377589065241,
