Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block502.xls,A,2,1,93,33,22,incongruent,Left,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,0,0,0,35.81425908900019,None,35.81425908900019,None,1,5.197328350001044,35.81425908900019,None,41.04706335499941,None,41.04706335499941,None,43.56234586000028,None,43.56234586000028,None,1.1998439549988689,45.36303444999976,None,45.36303444999976,None,5,1,0.7341281839999283,46.54973541099935,None,46.54973541099935,None,46.54973541099935,None,47.30061092699907,None,1,0.7687413189996732,47.30061092699907,None,2,48.08579505099988,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
1,Block502.xls,A,2,2,42,42,12,congruent,Right,Right,Left,83,80,3,blue,2,5,/home/docky/apps/exp/images/83Bi.jpeg,/home/docky/apps/exp/images/80B.jpeg,0,0,0,0,0,1,1,1,49.08731021699896,None,49.08731021699896,None,1,4.709870820001015,49.08731021699896,None,53.8309477419989,None,53.8309477419989,None,56.33441317500001,None,56.33441317500001,None,1.0835585829991032,58.137925689999975,None,58.137925689999975,None,5,1,0.8341971840000042,59.20758662899971,None,59.20758662899971,None,59.20758662899971,None,60.058864970000286,None,1,0.7523443910013157,60.058864970000286,None,4,60.827239509999345,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
1,Block502.xls,A,2,3,9,9,11,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38Bi.jpeg,/home/docky/apps/exp/images/39B.jpeg,0,0,0,0,0,2,2,2,61.82893815399984,None,61.82893815399984,None,1,3.941545966999911,61.82893815399984,None,65.80432478799958,None,65.80432478799958,None,68.30742581699997,None,68.30742581699997,None,1.183838511000431,70.11081516999911,None,70.11081516999911,None,6,1,0.7677301050007372,71.28091180899901,None,71.28091180899901,None,71.28091180899901,None,72.06510769799934,None,1,0.7523268450004252,72.06510769799934,None,6,72.83387767299973,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
1,Block502.xls,A,2,4,23,23,11,congruent,Left,Left,Right,38,39,1,yellow,2,6,/home/docky/apps/exp/images/38Yi.jpeg,/home/docky/apps/exp/images/39Y.jpeg,0,0,0,0,0,3,3,3,73.83556900999974,None,73.83556900999974,None,1,4.626240049001353,73.83556900999974,None,78.49553935899894,None,78.49553935899894,None,80.99848570599897,None,80.99848570599897,None,1.1671575360014685,82.80354520299989,None,82.80354520299989,None,5,0,0.834860638000464,83.95567141399988,None,83.95567141399988,None,83.95567141399988,None,84.80663378799909,None,1,0.784905186999822,84.80663378799909,None,4,85.60823845899904,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
1,Block502.xls,A,2,5,57,57,12,congruent,Right,Right,Left,77,72,5,yellow,2,5,/home/docky/apps/exp/images/77Y.jpeg,/home/docky/apps/exp/images/72Yi.jpeg,0,0,0,0,0,4,4,4,86.61060624499987,None,86.61060624499987,None,1,4.709618456001408,86.61060624499987,None,91.35401187699972,None,91.35401187699972,None,93.85725136600013,None,93.85725136600013,None,1.3004385129988805,95.66023657900041,None,95.66023657900041,None,5,1,0.7675882570001704,96.94766023000011,None,96.94766023000011,None,96.94766023000011,None,97.73206500000015,None,1,0.817892054999902,97.73206500000015,None,6,98.56671144400025,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
1,Block502.xls,A,2,6,118,58,22,incongruent,Left,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Yi.jpeg,/home/docky/apps/exp/images/79Y.jpeg,0,0,0,0,0,5,5,5,99.56890259600004,None,99.56890259600004,None,1,4.15865488199961,99.56890259600004,None,103.76119897100034,None,103.76119897100034,None,106.26620765900043,None,106.26620765900043,None,1.2338862209999206,108.06984044099954,None,108.06984044099954,None,5,1,0.8681587589999253,109.28821750699899,None,109.28821750699899,None,109.28821750699899,None,110.17259965999983,None,1,0.8027077179995104,110.17259965999983,None,8,110.99113113500061,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
1,Block502.xls,A,2,7,101,41,22,incongruent,Left,Right,Left,83,80,3,blue,2,5,/home/docky/apps/exp/images/83Bi.jpeg,/home/docky/apps/exp/images/80B.jpeg,0,0,0,0,0,6,6,6,111.9931631569998,None,111.9931631569998,None,1,4.225311457999851,111.9931631569998,None,116.25243378800042,None,116.25243378800042,None,118.75722124499953,None,118.75722124499953,None,1.3841002090011898,120.56073700600064,None,120.56073700600064,None,5,1,0.8177093760004936,121.9295265969995,None,121.9295265969995,None,121.9295265969995,None,122.76383548400008,None,1,0.8519237090004026,122.76383548400008,None,10,123.63222429400048,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
1,Block502.xls,A,2,8,69,9,21,incongruent,Right,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,0,0,0,0,7,7,7,124.63437773899932,None,124.63437773899932,None,1,4.225258599999506,124.63437773899932,None,128.89344135899955,None,128.89344135899955,None,131.39642026100046,None,131.39642026100046,None,1.3008990440011985,133.19959576099973,None,133.19959576099973,None,6,1,0.8679205070002354,134.48706384199977,None,134.48706384199977,None,134.48706384199977,None,135.37169579799956,None,1,0.718666607999694,135.37169579799956,None,12,136.10645717999978,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
1,Block502.xls,A,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
2,Block506.xls,A,6,1,120,60,22,incongruent,Left,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Yi.jpeg,/home/docky/apps/exp/images/79Y.jpeg,0,1,1,1,0,0,0,0,153.60356416099967,None,153.60356416099967,None,1,5.687151824000466,153.60356416099967,None,159.31540465499893,None,159.31540465499893,None,161.84092326000064,None,161.84092326000064,None,1.2000031400002626,163.6444624169999,None,163.6444624169999,None,6,0,0.9011163319992193,164.82946289199936,None,164.82946289199936,None,164.82946289199936,None,165.74723085799997,None,1,0.7524401840000792,165.74723085799997,None,10,166.51600274699922,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
2,Block506.xls,A,6,2,51,51,12,congruent,Right,Right,Left,66,65,1,yellow,2,5,/home/docky/apps/exp/images/66Y.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,1,1,1,0,1,1,1,167.51736550900023,None,167.51736550900023,None,1,3.8920956580004713,167.51736550900023,None,171.4425860279989,None,171.4425860279989,None,173.94771976399898,None,173.94771976399898,None,1.2003598519986554,175.74978605899923,None,175.74978605899923,None,5,1,0.8679023240001698,176.93628714700026,None,176.93628714700026,None,176.93628714700026,None,177.82088601800024,None,1,0.7524226139994425,177.82088601800024,None,12,178.58933715400053,None,147,A,1,2021_Jun_04_1055,GazeFlow,2020.1.2,59.895052248445765,
